id;pt_BR;en;fr;it;nl;pt;es;de
Bank>2000;[[BA\2000]]Você gostaria de comprar ações de qual companhia aérea?;[[BA\2000]]From which airline would you like to buy stocks?;[[BA\2000]]A qui voulez-vous acheter des actions ?;[[BA\2000]]Di quale società vorrebbe acquistare le azioni?;[[BA\2000]]Van welke luchtvaartmaatschappij wilt u aandelen kopen?;[[BA\2000]] De que companhia aérea é que quer comprar acções?;[[BA\2000]] ¿De qué empresa quiere comprar acciones?;[[BA\2000]]Von welcher Firma möchten Sie Aktien erwerben?
Bank>2010;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]à [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2011;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]à [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2012;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]à [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2013;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]à [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2014;[[P1\BA\2114]]Eu mudei de idéia.;[[P1\BA\2114]]I've changed my mind.;[[P1\BA\2114]]J'ai changé d'avis.;[[P1\BA\2114]]Ho cambiato idea.;[[P1\BA\2114]]Hmm.. Ik heb me bedacht.;[[P1\BA\2114]]Mudei de ideias.;[[P1\BA\2114]]O mejor no.;[[P1\BA\2114]]Doch nicht.
Bank>2016;[[BA\2016]]Mas essa companhia aérea não existe mais!;[[BA\2016]]But this airline doesn't exist anymore!;[[BA\2016]]Mais cette compagnie n'existe plus !;[[BA\2016]]Ma questa compagnia aerea non esiste più!;[[BA\2016]]Maar deze luchtvaartmaatschappij bestaat niet meer!;[[BA\2016]]Mas essa companhia aérea já não existe!;[[BA\2016]]¡Si esa compañía ya no existe!;[[BA\2016]]Aber die Fluglinie gibt es nicht mehr!
Bank>2030;[[BA\2030]]Sem problema. De que outra companhia você gostaria de comprar ações?;[[BA\2030]]No problem. Which other company's stocks would you like to buy?;[[BA\2030]]Aucun problème. Les actions de quelle autre compagnie voulez-vous acheter ?;[[BA\2030]]Nessun problema. Di quale altra società vuole acquistare le azioni?;[[BA\2030]]Geen probleem. Wilt u nog aandelen van een andere luchtvaartmaatschappij kopen?;[[BA\2030]]Claro. De que outra companhia deseja comprar acções?;[[BA\2030]]Desde luego. ¿De qué otra empresa quiere comprar acciones?;[[BA\2030]]Gerne. Von welcher Firma möchten Sie sonst noch Aktien erwerben?
Bank>2031;[[BA\2031]]Bem, está certo. Você quer comprar ações de que companhia?;[[BA\2031]]Well, okay. Which company's stocks would you like to buy?;[[BA\2031]]Bien, d'accord. Les actions de quelle compagnie voulez-vous acheter ?;[[BA\2031]]Vediamo. Di quale società vuole acquistare le azioni?;[[BA\2031]]Oke. Wilt u nog aandelen van een andere luchtvaartmaatschappij kopen?;[[BA\2031]]Muito bem. De que outra companhia deseja comprar acções?;[[BA\2031]]Bien. ¿De qué empresa quiere comprar acciones entonces?;[[BA\2031]]Na gut. Von welcher Firma möchten Sie dann Aktien erwerben?
Bank>2020;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s)as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da[[*]] %s. Também (%s);[[P1\BA\2020]]Tambien de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2021;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s)as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da [[*]] %s. Também (%s);[[P1\BA\2020]]Aparte de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2022;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s) as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da[[*]] %s. Também (%s);[[P1\BA\2020]]Aparte de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2023;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s) as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da [[*]] %s. Também (%s);[[P1\BA\2020]]Aparte de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2024;[[P1\BA\2114]]Eu mudei de idéia.;[[P1\BA\2114]]I've changed my mind.;[[P1\BA\2114]]J'ai changé d'avis;[[P1\BA\2114]]Ho cambiato idea.;[[P1\BA\2114]]Hmm.. Ik heb me bedacht.;[[P1\BA\2114]]Mudei de ideias.;[[P1\BA\2114]]O mejor no.;[[P1\BA\2114]]Doch nicht.
Bank>2100;[[BA\2100]]Você quer vender as ações de qual companhia?;[[BA\2100]]Which company's stocks would you like to sell?;[[BA\2100]]Les actions de quelle compagnie voudriez-vous vendre ?;[[BA\2100]]Di quale società desidera vendere le azioni?;[[BA\2100]]Van welke luchtvaartmaatschappij wilt u aandelen verkopen?;[[BA\2100]]De que companhia aérea deseja vender acções?;[[BA\2100]]¿De qué empresa quiere vender acciones?;[[BA\2100]]Von welcher Firma möchten Sie Aktien verkaufen?
Bank>2110;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]De [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2111;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]De [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2112;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]De [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2113;[[P1\BA\2010]]da [[*]] %s. (%s);[[P1\BA\2010]]from [[*]] %s. (%s);[[P1\BA\2010]]de [[*]] %s. (%s);[[P1\BA\2010]]Della [[*]] %s. (%s);[[P1\BA\2010]]van [[*]] %s. (%s);[[P1\BA\2010]]Da [[*]] %s. (%s);[[P1\BA\2010]]De [[*]] %s. (%s);[[P1\BA\2010]]Von [[*]] %s. (%s)
Bank>2114;[[P1\BA\2114]]Eu mudei de idéia.;[[P1\BA\2114]]I've changed my mind.;[[P1\BA\2114]]J'ai changé d'avis.;[[P1\BA\2114]]Ho cambiato idea.;[[P1\BA\2114]]Hmm.. Ik heb me bedacht.;[[P1\BA\2114]]Mudei de ideias.;[[P1\BA\2114]]O mejor no.;[[P1\BA\2114]]Doch nicht.
Bank>2116;[[BA\2116]]Mas essa companhia aérea não existe mais!;[[BA\2116]]But this airline doesn't exist anymore!;[[BA\2116]]Mais cette compagnie n'existe plus !;[[BA\2116]]Ma questa compagnia aerea non esiste più!;[[BA\2116]]Maar deze luchtvaartmaatschappij bestaat niet meer!;[[BA\2116]]Mas essa companhia aérea já não existe!;[[BA\2116]]¡Si esa compañía ya no existe!;[[BA\2116]]Aber die Fluglinie gibt es nicht mehr!
Bank>2130;[[BA\2130]]Sem problema. Você quer vender as ações de qual companhia?;[[BA\2130]]No problem. Which company's stocks would you like to sell?;[[BA\2130]]Pas de problème. Les actions de quelle compagnie voudriez-vous vendre ?;[[BA\2130]]Nessun problema. Di quale altra società desidera vendere le azioni?;[[BA\2130]]Geen probleem. Van welke andere luchtvaartmaatschappij wilt u aandelen verkopen?;[[BA\2130]]Muito bem. De que companhia deseja vender acções?;[[BA\2130]]Desde luego. ¿De qué otra empresa quiere vender acciones?;[[BA\2130]]Gerne. Von welcher Firma möchten Sie sonst noch Aktien verkaufen?
Bank>2131;[[BA\2131]]Bem, está certo. Você quer vender as ações de qual companhia então?;[[BA\2131]]Well, okay. Which company's stocks would you like to sell then?;[[BA\2131]]Bien, d'accord. Alors les actions de quelle compagnie voudriez-vous vendre ?;[[BA\2131]]Bene. Allora di quale società desidera vendere le azioni?;[[BA\2131]]Oke. Van welke andere luchtvaartmaatschappij wilt u aandelen verkopen?;[[BA\2131]]Claro. De que companhia deseja vender acções?;[[BA\2131]]Bien. ¿De qué empresa quiere vender acciones entonces?;[[BA\2131]]Na gut. Von welcher Firma möchten Sie dann Aktien verkaufen?
Bank>2120;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s)as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da [[*]] %s. Também(%s);[[P1\BA\2020]]Además de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2121;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s) as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da [[*]] %s. Também(%s);[[P1\BA\2020]]Además de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2122;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s) as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]Ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da [[*]] %s. Também(%s);[[P1\BA\2020]]Además de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2123;[[P1\BA\2020]]Sim, da [[*]] %s. (%s) também;[[P1\BA\2020]]Yes, from [[*]] %s. (%s) as well;[[P1\BA\2020]]Oui, de [[*]] %s. (%s) aussi;[[P1\BA\2020]]Anche della [[*]] %s. (%s);[[P1\BA\2020]]ja, van [[*]] %s. (%s);[[P1\BA\2020]]Sim, da [[*]] %s. Também(%s);[[P1\BA\2020]]Además de [[*]] %s. (%s);[[P1\BA\2020]]Außerdem von [[*]] %s. (%s)
Bank>2124;[[P1\BA\2114]]Eu mudei de idéia.;[[P1\BA\2114]]I've changed my mind.;[[P1\BA\2114]]J'ai changé d'avis.;[[P1\BA\2114]]Ho cambiato idea.;[[P1\BA\2114]]Hmm.. Ik heb me bedacht.;[[P1\BA\2114]]Mudei de ideias.;[[P1\BA\2114]]O mejor no.;[[P1\BA\2114]]Doch nicht.
